Day,Position,Position Type,Candidate Id,Candidate Name,Experience,Language Skills,Presentation Skills
Day 1,Client Services Assistant ,Client Services Assistant ,130,Francisco Fernandes,5,4,0
Day 1,Client Services Assistant ,Client Services Assistant ,158,Inês Ribeiro,5,1,5
Day 1,Client Services Assistant ,Client Services Assistant ,209,Madalena Lima,5,4,5
Day 1,Client Services Assistant ,Client Services Assistant ,210,Madalena Oliveira,5,2,1
Day 1,Client Services Assistant ,Client Services Assistant ,236,Mariana Santos,5,3,0
Day 1,Dept B Packing Assistant ,Packing Assistant ,26,André Fernandes,4,1,2
Day 1,Dept B Packing Assistant ,Packing Assistant ,73,Carolina Nunes,5,5,3
Day 1,Dept B Packing Assistant ,Packing Assistant ,105,Duarte Martins,4,1,1
Day 1,Dept B Packing Assistant ,Packing Assistant ,115,Emily Martin,5,4,2
Day 1,Dept B Packing Assistant ,Packing Assistant ,216,Mafalda Ribeiro,5,4,1
Day 1,Dept B Packing Assistant ,Packing Assistant ,218,Margarida Oliveira,5,2,4
Day 1,Dept B Packing Assistant ,Packing Assistant ,233,Mariana Pereira,4,3,3
Day 1,Dept B Packing Assistant ,Packing Assistant ,240,Mariana Vaz,4,1,5
Day 1,Dept B Packing Assistant ,Packing Assistant ,262,Nuno Santos,5,3,2
Day 1,Dept B Packing Assistant ,Packing Assistant ,287,Rodrigo Pereira,4,3,0
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,65,Camila Santos,4,4,4
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,70,Carolina Fernandes,3,4,3
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,99,Diogo Costa,4,4,5
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,123,Filipe Carvalho,5,5,0
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,157,Inês Pinto,5,1,2
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,160,Isabela Costa,5,1,3
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,215,Mafalda Ferreira,5,2,2
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,241,Matilde Almeida,5,2,2
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,300,Scarlett Rodriguez,5,0,2
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,324,Tomé Martins,4,5,1
Day 1,Dept C Assistant ,Assistant ,94,David Wilson,5,5,3
Day 1,Dept C Assistant ,Assistant ,191,Leonor Mendes,5,1,4
Day 1,Dept C Assistant ,Assistant ,219,Margarida Sousa,5,2,4
Day 1,Dept C Assistant ,Assistant ,246,Matilde Martins,5,4,3
Day 1,Dept C Assistant ,Assistant ,297,Sara Silva,5,2,1
Day 1,Dept D Assistant ,Assistant ,19,Ana Nunes,4,1,2
Day 1,Dept D Assistant ,Assistant ,25,André Castro,4,3,1
Day 1,Dept D Assistant ,Assistant ,108,Dylan Hernandez,4,1,0
