Day,Position,Position Type,Candidate Id,Candidate Name,Experience,Language Skills,Presentation Skills
Day 1,Client Services Assistant ,Client Services Assistant ,130,Francisco Fernandes,5,4,0
Day 1,Client Services Assistant ,Client Services Assistant ,198,Logan Davis,5,2,2
Day 1,Client Services Assistant ,Client Services Assistant ,209,Madalena Lima,5,4,5
Day 1,Client Services Assistant ,Client Services Assistant ,210,Madalena Oliveira,5,2,1
Day 1,Client Services Assistant ,Client Services Assistant ,236,Mariana Santos,5,3,0
Day 1,Dept B Packing Assistant ,Packing Assistant ,17,Ana Gonçalves,4,1,1
Day 1,Dept B Packing Assistant ,Packing Assistant ,32,António Costa,4,0,1
Day 1,Dept B Packing Assistant ,Packing Assistant ,100,Diogo Cunha,5,1,4
Day 1,Dept B Packing Assistant ,Packing Assistant ,115,Emily Martin,5,4,2
Day 1,Dept B Packing Assistant ,Packing Assistant ,131,Francisco Ferreira,4,2,5
Day 1,Dept B Packing Assistant ,Packing Assistant ,142,Gonçalo Castro,4,1,2
Day 1,Dept B Packing Assistant ,Packing Assistant ,233,Mariana Pereira,4,3,3
Day 1,Dept B Packing Assistant ,Packing Assistant ,254,Miguel Costa,4,4,0
Day 1,Dept B Packing Assistant ,Packing Assistant ,262,Nuno Santos,5,3,2
Day 1,Dept B Packing Assistant ,Packing Assistant ,287,Rodrigo Pereira,4,3,0
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,14,Ana Carvalho,5,2,1
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,51,Benjamin Nelson,5,2,1
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,68,Carolina Carvalho,4,2,4
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,157,Inês Pinto,5,1,2
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,160,Isabela Costa,5,1,3
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,166,Jacob Campbell,4,3,3
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,224,Maria Ribeiro,5,3,0
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,276,Rafaela Ferreira,4,2,3
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,320,Tomás Martins,4,5,2
Day 1,Dept B Viewing Assistant ,Viewing Assistant ,328,William Hernandez,3,3,4
Day 1,Dept C Assistant ,Assistant ,48,Beatriz Rodrigues,4,4,2
Day 1,Dept C Assistant ,Assistant ,94,David Wilson,5,5,3
Day 1,Dept C Assistant ,Assistant ,156,Inês Martins,5,2,5
Day 1,Dept C Assistant ,Assistant ,191,Leonor Mendes,5,1,4
Day 1,Dept C Assistant ,Assistant ,217,Mafalda Santos,4,4,3
Day 1,Dept D Assistant ,Assistant ,25,André Castro,4,3,1
Day 1,Dept D Assistant ,Assistant ,75,Carolina Rodrigues,4,3,0
Day 1,Dept D Assistant ,Assistant ,93,David Santos,4,2,3
Day 1,Dept D Assistant ,Assistant ,108,Dylan Hernandez,4,1,0
Day 1,Dept D Assistant ,Assistant ,144,Gonçalo Martins,4,3,2
Day 1,Dept D Assistant ,Assistant ,256,Miguel Pereira,4,3,1
Day 1,Dept D Assistant ,Assistant ,269,Pedro Sousa,4,3,1
Day 1,Dept D Assistant ,Assistant ,306,Sofia Ribeiro,4,2,1
Day 1,Dept D Assistant ,Assistant ,313,Tiago Fernandes,4,2,4
Day 1,Dept D Assistant ,Assistant ,322,Tomás Rodrigues,4,1,2
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,15,Ana Costa,5,2,2
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,23,Ana Santos,4,4,4
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,31,Andrew Moore,4,2,3
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,44,Beatriz Andrade,4,3,4
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,101,Diogo Oliveira,3,5,3
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,214,Mafalda Cruz,5,3,0
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,255,Miguel Lopes,5,3,2
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,298,Sarah Garcia,5,1,2
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,302,Simão Costa,4,2,3
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,324,Tomé Martins,4,5,1
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,24,Ana Sousa,5,2,1
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,34,Aria Wright,4,1,4
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,123,Filipe Carvalho,5,5,0
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,154,Henrique Pereira,4,4,0
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,159,Isaac Jackson,5,3,1
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,177,José Rodrigues,5,1,4
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,215,Mafalda Ferreira,5,2,2
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,244,Matilde Gomes,3,2,3
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,300,Scarlett Rodriguez,5,0,2
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,307,Sofia Santos,5,3,1
Day 1,Dept H Assistant ,Assistant ,96,Diana Fernandes,5,3,3
Day 1,Dept H Assistant ,Assistant ,134,Francisco Rodrigues,5,4,5
Day 1,Dept H Assistant ,Assistant ,219,Margarida Sousa,5,2,4
Day 1,Dept H Assistant ,Assistant ,234,Mariana Rocha,5,2,1
Day 1,Dept H Assistant ,Assistant ,297,Sara Silva,5,2,1
Day 1,Dept I Viewing Assistant ,Viewing Assistant ,66,Candidate Name,5,4,2
Day 1,Dept I Viewing Assistant ,Viewing Assistant ,99,Diogo Costa,4,4,5
Day 1,Dept I Viewing Assistant ,Viewing Assistant ,185,Lara Silva,5,3,3
